question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty
Which composer wrote 'Clair de Lune'?,Claude Debussy,Erik Satie,Maurice Ravel,Camille Saint-Saëns,4
Which bird is the fastest in the world when diving?,Peregrine falcon,Golden eagle,Osprey,Albatross,5
Which language uses the most native speakers worldwide?,Mandarin Chinese,English,Hindi,Spanish,4
What type of animal is a platypus?,Mammal,Reptile,Bird,Amphibian,3
Who invented the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Linus Torvalds,5
Which city hosted the 2008 Summer Olympics?,Beijing,Athens,Sydney,London,2
Which ancient civilization built Machu Picchu?,Inca Empire,Mayan Empire,Roman Empire,Persian Empire,4
What is the main ingredient in the Middle Eastern dish falafel?,Chickpeas,Lentils,Quinoa,Yellow peas,3
Who developed the theory of general relativity?,Albert Einstein,Isaac Newton,Marie Curie,Nikola Tesla,3
Which U.S. state is the Grand Canyon located in?,Arizona,Nevada,Utah,Colorado,2
What is the chemical symbol for potassium?,K,P,Pt,Po,2
Which artist is famous for his work 'The Starry Night'?,Vincent van Gogh,Pablo Picasso,Claude Monet,Edvard Munch,2
What is the national animal of India?,Bengal Tiger,Asiatic Lion,Indian Elephant,Peacock,5
"In basketball, how many points is a free throw worth?",One point,Two points,Three points,Five points,1
Which country is Ibiza a part of?,Spain,Italy,Greece,Portugal,2
Who was the first human to journey into outer space?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,John Glenn,5
What is the primary flavor of the Greek dip tzatziki?,Cucumber,Tomato,Eggplant,Carrot,3
Which is the largest landlocked country in the world?,Kazakhstan,Paraguay,Mongolia,Chad,6
Who is the author of 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Mario Vargas Llosa,Isabel Allende,Jorge Luis Borges,4
Which US president served the shortest term in office?,William Henry Harrison,James A. Garfield,Zachary Taylor,Gerald Ford,7
What organ in the human body produces insulin?,Pancreas,Liver,Kidney,Stomach,3
Which metal is liquid at room temperature?,Mercury,Lead,Copper,Iron,3
In what country did the bossa nova music genre originate?,Brazil,Argentina,Cuba,Mexico,3
Which wild cat is native to the Americas and is known for its black fur?,Black Jaguar,Snow Leopard,Siberian Tiger,Clouded Leopard,6
What is the tallest breed of dog in the world?,Irish Wolfhound,Great Pyrenees,Saint Bernard,Newfoundland,7
Who composed the ballet 'The Nutcracker'?,Pyotr Tchaikovsky,Igor Stravinsky,Sergei Prokofiev,Dmitri Shostakovich,3
"Which fictional detective lives at 221B Baker Street, London?",Sherlock Holmes,Hercule Poirot,Miss Marple,Sam Spade,2
What is the capital city of Thailand?,Bangkok,Hanoi,Manila,Singapore,2
Which scientist is credited with formulating the three laws of motion?,Isaac Newton,Albert Einstein,James Watt,Nikola Tesla,3
What is the name of the naval battle in 1805 where Admiral Nelson defeated the French and Spanish fleets?,Battle of Trafalgar,Battle of Midway,Battle of Waterloo,Battle of Hastings,4
Which city is famous for the Christ the Redeemer statue overlooking it?,Rio de Janeiro,Mexico City,Buenos Aires,Santiago de Chile,2
Who wrote the dystopian novel '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,Jules Verne,2
What is the chemical symbol for silver?,Ag,Si,Sr,Al,2
Which Italian explorer completed the first recorded circumnavigation of the Earth?,Ferdinand Magellan,Marco Polo,Christopher Columbus,Amerigo Vespucci,5
"In Greek mythology, what is the name of the winged horse?",Pegasus,Cerberus,Hydra,Minotaur,2
Which continent is the country of Bhutan located on?,Asia,Africa,Europe,Oceania,1
What musical instrument did Ludwig van Beethoven mainly compose for?,Piano,Violin,Guitar,Cello,3
Who starred as Indiana Jones in the film series?,Harrison Ford,Tom Hanks,Bruce Willis,Mel Gibson,2
Which painter is known for the surrealist work 'The Persistence of Memory'?,Salvador Dalí,Pablo Picasso,Henri Matisse,Edvard Munch,4
Which device uses a rotating magnet to generate electricity?,Dynamo,Barometer,Thermocouple,Voltmeter,4
What is the main alcoholic ingredient in a classic mojito cocktail?,White rum,Dry gin,Tequila,Brandy,3
Which breed of cat is famous for its lack of a tail?,Manx,Siamese,Bengal,Persian,5
Which African country is known for its pyramids in the ancient city of Meroë?,Sudan,Egypt,Morocco,Ethiopia,6
What is the highest civilian honor awarded in the United States?,Presidential Medal of Freedom,Congressional Gold Medal,Medal of Honor,National Science Medal,5
Which chemical element is named after the planet Uranus?,Uranium,Neptunium,Plutonium,Mercury,4
Who is the author of 'The Picture of Dorian Gray'?,Oscar Wilde,Charles Dickens,Mary Shelley,Emily Brontë,3
Which team won the UEFA Euro 2016 football championship?,Portugal,France,Italy,Germany,4
What is the smallest country in South America by area?,Suriname,Uruguay,Guyana,Ecuador,6
The Great Sphinx is located near which pyramid complex?,Giza,Saqqara,Dashur,Abu Simbel,2
Who composed the symphony 'From the New World'?,Antonín Dvořák,Franz Schubert,Gustav Mahler,Jean Sibelius,5
Which programming language is known for its logo featuring a blue gemstone?,Ruby,Python,Java,Swift,5
The baguette is a traditional bread from which country?,France,Italy,Germany,Belgium,1
What species is the world's largest reptile?,Saltwater crocodile,Green anaconda,Leatherback turtle,Komodo dragon,6
Which river flows through the city of Budapest?,Danube River,Nile River,Seine River,Ganges River,4
What vitamin is mainly produced in human skin when exposed to sunlight?,Vitamin D,Vitamin A,Vitamin C,Vitamin K,3
Who wrote the epic poem 'Paradise Lost'?,John Milton,John Keats,T.S. Eliot,Oscar Wilde,5
"In tennis, what is the term for a score of zero?",Love,Ace,Match,Set,2
Which chemical element has the symbol 'Cu'?,Copper,Carbon,Cobalt,Calcium,3
What is the currency of Turkey?,Lira,Ruble,Peso,Baht,3
What is the tallest type of grass in the world?,Bamboo,Wheat,Rice,Rye,4
Which famous scientist developed the polio vaccine in 1955?,Jonas Salk,Louis Pasteur,Albert Sabin,Alexander Fleming,5
Which country is Prague the capital of?,Czech Republic,Poland,Austria,Hungary,4
What is the main language spoken in Egypt?,Arabic,French,Greek,Turkish,3
Which ocean borders the east coast of the United States?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,2
What is the largest species of penguin?,Emperor Penguin,King Penguin,Chinstrap Penguin,Rockhopper Penguin,4
What type of food is Roquefort?,Cheese,Bread,Sausage,Soup,4
Who was the Greek goddess of wisdom?,Athena,Aphrodite,Hera,Demeter,3
Which city is home to the famous museum The Louvre?,Paris,Rome,London,Berlin,2
Who directed the film 'Inception' in 2010?,Christopher Nolan,James Cameron,Steven Spielberg,Martin Scorsese,4
Which animal is known for building dams in rivers?,Beaver,Otter,Mole,Badger,2
Which author created the detective Hercule Poirot?,Agatha Christie,Arthur Conan Doyle,Raymond Chandler,Dorothy Sayers,4
Which country is known for the culinary dish paella?,Spain,Portugal,France,Italy,2
The Taj Mahal was constructed as a mausoleum for which emperor's wife?,Shah Jahan,Akbar,Babur,Aurangzeb,5
Which organ in the body is primarily responsible for filtering blood?,Kidney,Liver,Heart,Lung,3
Which ancient civilization used cuneiform writing on clay tablets?,Mesopotamians,Egyptians,Phoenicians,Romans,6
What is the main ingredient in the Spanish dish gazpacho?,Tomato,Potato,Chicken,Rice,3
Who was the artist famous for the mural 'Guernica'?,Pablo Picasso,Diego Rivera,Marc Chagall,Henri Matisse,5
Which planet is closest to the Sun?,Mercury,Venus,Mars,Saturn,2
In which city would you find the historic Kremlin complex?,Moscow,Warsaw,Berlin,Kyiv,3
Which muscle is primarily responsible for human breathing?,Diaphragm,Biceps,Quadriceps,Trapezius,4
What instrument is Yo-Yo Ma famous for playing?,Cello,Violin,Piano,Flute,3
Which country is renowned for creating the martial art Taekwondo?,South Korea,Japan,China,Thailand,3
What is the largest moon of Saturn called?,Titan,Europa,Ganymede,Io,7
Which English author wrote 'Pride and Prejudice'?,Jane Austen,Emily Brontë,Mary Shelley,Charlotte Brontë,2
What is the capital city of Kenya?,Nairobi,Kampala,Addis Ababa,Lusaka,4
Which bird lays the largest eggs in the world?,Ostrich,Swan,Eagle,Emu,2
Who is the director of the 1972 film 'The Godfather'?,Francis Coppola,Martin Scorsese,Stanley Kubrick,Steven Spielberg,4
In which U.S. state is the city of Nashville located?,Tennessee,Kentucky,Georgia,Texas,3
What is the standard unit of electric resistance?,Ohm,Watt,Volt,Ampere,2
Which Chinese dynasty is known for the Terracotta Army?,Qin Dynasty,Han Dynasty,Tang Dynasty,Yuan Dynasty,5
What sport features a scrum and a line-out?,Rugby,Soccer,Cricket,Baseball,3
Which animal is native only to the island of Madagascar?,Lemur,Koala,Panda,Sloth,4
Who invented the telephone in 1876?,Alexander Bell,Thomas Edison,Nikola Tesla,Samuel Morse,2
Which mountain range separates Europe from Asia?,Ural Mountains,Alps Mountains,Andes Mountains,Caucasus Mountains,5
Who painted the 'Girl with a Pearl Earring'?,Johannes Vermeer,Rembrandt van Rijn,Jan van Eyck,Peter Paul Rubens,5
What is the largest internal organ in the human body?,Liver,Lung,Kidney,Spleen,2
Who wrote the novel 'Great Expectations'?,Charles Dickens,Thomas Hardy,Jane Austen,Emily Brontë,3
Which instrument uses a bow to produce sound from strings?,Violin,Flute,Piano,Trumpet,1
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1
What is the main ingredient in traditional Japanese miso soup?,Fermented soybean paste,Seaweed extract,Rice flour broth,Fish stock only,3
Which element is essential for making computer chips and semiconductors?,Silicon,Aluminum,Iron,Copper,4
In what city can you visit the historic Alhambra Palace?,Granada,Seville,Toledo,Madrid,6
Which two countries share the longest international land border?,Canada and USA,India and China,Russia and Kazakhstan,Brazil and Argentina,5
What is the currency used in South Korea?,Won,Yen,Baht,Ringgit,2
Which country is famous for originating the tango dance?,Argentina,Brazil,Spain,Portugal,3
What is the smallest bone in the human body?,Stapes,Ulna,Femur,Tibia,6
Who is the Greek god of the sea?,Poseidon,Zeus,Hades,Hermes,1
Which African lake is the deepest?,Lake Tanganyika,Lake Victoria,Lake Malawi,Lake Chad,5
Which composer wrote the 'Moonlight Sonata'?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Frédéric Chopin,4
From which country does the cheese Manchego originate?,Spain,France,Italy,Switzerland,5
Which mammal is capable of flight?,Bat,Mole,Rat,Squirrel,1
Which technology company developed the Android operating system?,Google,Apple,Samsung,Microsoft,2
Who won the FIFA World Cup in 1998?,France,Brazil,Germany,Italy,3
What is the capital city of Morocco?,Rabat,Casablanca,Fes,Tangier,3
Who wrote the play 'Death of a Salesman'?,Arthur Miller,Tennessee Williams,Eugene O'Neill,Sam Shepard,5
In which country is Lake Titicaca located?,Peru,Chile,Colombia,Venezuela,4
Which artist painted 'The Night Watch'?,Rembrandt,Vermeer,Rubens,Caravaggio,6
Which element has the atomic number 8?,Oxygen,Carbon,Nitrogen,Fluorine,2
Who is known as the 'Father of Geometry'?,Euclid,Pythagoras,Archimedes,Eratosthenes,5
What is the world’s largest archipelago nation by area?,Indonesia,Philippines,Japan,Greece,6
In which sport is the 'Triple Axel' a jump?,Figure skating,Diving,Ski jumping,Snowboarding,3
Which famous building was completed in 1889 for the Paris Exposition?,Eiffel Tower,Arc de Triomphe,Notre-Dame,Louvre Museum,2
Which chess piece can only move diagonally?,Bishop,Rook,Queen,Knight,1
Which country gave the world the car brand Volvo?,Sweden,France,Germany,Italy,4
What is the longest river in Australia?,Murray River,Darling River,Lachlan River,Murrumbidgee River,5
What is the official language of Iran?,Persian,Arabic,Pashto,Turkish,3
"In math, what is the value of pi rounded to two decimal places?",3.14,2.71,1.62,1.41,2
Which country is the traditional home of winemaking region Bordeaux?,France,Italy,Spain,Portugal,2
Who painted 'The Last Supper'?,Leonardo da Vinci,Raphael,Michelangelo,Botticelli,3
Which bird is known for its ability to mimic human speech?,Parrot,Owl,Eagle,Sparrow,2
Which country gifted the Statue of Liberty to the United States?,France,Italy,Canada,Spain,2
What is the longest river in Europe?,Volga,Danube,Rhine,Seine,5
Which vitamin is mainly found in citrus fruits?,Vitamin C,Vitamin D,Vitamin K,Vitamin A,2
What is the capital city of Finland?,Helsinki,Oslo,Stockholm,Copenhagen,3
In which city would you find the Colosseum?,Rome,Athens,Istanbul,Florence,2
What is the basic unit of currency in Japan?,Yen,Won,Yuan,Ringgit,2
What is the largest continent by area?,Asia,Africa,Europe,Australia,1
What is the main alcoholic ingredient in a margarita?,Tequila,Rum,Vodka,Gin,2
Which bird is known for delivering babies in folklore?,Stork,Crane,Swan,Goose,3
Who is credited with developing the first practical light bulb?,Thomas Edison,Nikola Tesla,Michael Faraday,James Watt,2
What kind of animal is a pufferfish?,Fish,Mammal,Reptile,Bird,2
Who composed the opera 'Carmen'?,Georges Bizet,Richard Wagner,Giuseppe Verdi,Gioachino Rossini,5
The Prado Museum is located in which European city?,Madrid,Barcelona,Rome,Paris,3
What type of animal is a lynx?,Wild cat,Sea otter,Desert fox,Mountain goat,2
Which novel features the fictional island of Lilliput?,Gulliver's Travels,Treasure Island,Robinson Crusoe,Lord of the Flies,5
Which African country is known for Victoria Falls?,Zimbabwe,Kenya,Zambia,Uganda,3
Who was the first President of the United States of America?,George Washington,John Adams,Thomas Jefferson,James Madison,2
Which instrument does a flautist play?,Flute,Clarinet,Violin,Oboe,2
Which Asian country is known as the Land of the White Elephant?,Thailand,Vietnam,Cambodia,Myanmar,5
Which English king had six wives?,Henry VIII,Edward VI,Richard III,Henry VII,4
What type of tree produces acorns?,Oak,Pine,Maple,Elm,2
What is the culinary term for a dish cooked in paper?,En papillote,Al dente,Au gratin,Sous vide,6
Which U.S. state is famous for the city of Las Vegas?,Nevada,Arizona,California,Utah,2
Which Greek island is famous for its volcanic caldera?,Santorini,Crete,Mykonos,Rhodes,5
Which footballer is nicknamed 'El Pibe de Oro'?,Diego Maradona,Lionel Messi,Pelé,Cristiano Ronaldo,7
What device measures atmospheric pressure?,Barometer,Altimeter,Thermometer,Hygrometer,5
Who wrote the science fiction novel 'Fahrenheit 451'?,Ray Bradbury,Isaac Asimov,Philip K. Dick,Arthur C. Clarke,3
Which Italian cheese is traditionally used on pizza?,Mozzarella,Gorgonzola,Ricotta,Pecorino,2
In which year did the Titanic sink?,1912,1906,1921,1898,3
Which Renaissance artist painted 'The Birth of Venus'?,Sandro Botticelli,Raphael Sanzio,Leonardo da Vinci,Michelangelo Buonarroti,5
What is the capital city of Hungary?,Budapest,Warsaw,Vienna,Prague,2
Which instrument is known for a slide and is prominent in blues music?,Slide guitar,Alto saxophone,Tenor banjo,Upright bass,4
What is the boiling point of water at sea level in degrees Celsius?,100,90,80,120,1
The Ganges River flows primarily through which country?,India,Nepal,Bangladesh,Pakistan,2
Which country is home to the annual Running of the Bulls festival?,Spain,Portugal,Italy,France,2
What is the largest organ on the exterior of the human body?,Skin,Liver,Heart,Lung,2
Which gas makes up the majority of Earth’s atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,3
"In soccer, what does FIFA stand for?",Fédération Internationale de Football Association,Football International Federation Agency,Federation of Inter Football Associations,Federal International Football Administration,6
Which U.S. state is known as the 'Sunshine State'?,Florida,California,Arizona,Texas,1
"In the Harry Potter series, what magical sport is played on broomsticks?",Quidditch,Bludgerball,Snitching,Wandball,2
What is the currency of Switzerland?,Swiss franc,Euro,Swiss mark,Krona,3
Who is known for writing the play 'Oedipus Rex'?,Sophocles,Euripides,Aeschylus,Aristophanes,5
In which city is the United Nations headquarters located?,New York City,Geneva,Brussels,Vienna,3
Which company is best known for producing the iPhone?,Apple,Google,Samsung,Sony,1
Mount Kilimanjaro is found in which African country?,Tanzania,Ethiopia,Kenya,Uganda,3
What type of animal is a guppy?,Fish,Bird,Mammal,Reptile,2
Which artist designed the glass pyramid at the entrance to the Louvre Museum?,I. M. Pei,Frank Gehry,Zaha Hadid,Renzo Piano,6
What is the tallest mountain in North America?,Denali,Elbrus,Aconcagua,Kilimanjaro,4
What is the capital city of Canada?,Ottawa,Toronto,Vancouver,Montreal,2
What is the most abundant gas in Earth's atmosphere after nitrogen?,Oxygen,Argon,Carbon dioxide,Hydrogen,3
Which instrument is used to observe distant planets and stars?,Telescope,Microscope,Periscope,Kaleidoscope,2
What is the national flower of Japan?,Cherry blossom,Lotus flower,Sunflower,Rose blossom,4
Which musical term means to play softly?,Piano,Forte,Allegro,Presto,5
Who invented the phonograph?,Thomas Edison,Nikola Tesla,Alexander Bell,Michael Faraday,6
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Neptune,5
In which country did Impressionism as an art movement begin?,France,Italy,Germany,Netherlands,3
Which device stores electrical energy for a short period?,Capacitor,Transistor,Resistor,Relay,6
Which animal is classified as a marsupial?,Kangaroo,Koala,Panda,Lemur,4
What does the Richter scale measure?,Earthquake strength,Atmospheric pressure,Temperature changes,Rainfall amount,2
Which Italian city is known for its leaning tower?,Pisa,Milan,Verona,Naples,2
Who is the author of 'The Catcher in the Rye'?,J.D. Salinger,Mark Twain,F. Scott Fitzgerald,Ernest Hemingway,4
What is tofu primarily made from?,Soybeans,Rice flour,Potatoes,Chickpeas,2
Which team sport is played on an ice rink with sticks and a puck?,Ice hockey,Field hockey,Curling,Water polo,2
What is the national sport of Japan?,Sumo wrestling,Taekwondo,Muay Thai,Karate-do,3
Which country hosts the city of Marrakech?,Morocco,Egypt,Turkey,Tunisia,3
What is the largest island in the Mediterranean Sea?,Sicily,Crete,Cyprus,Sardinia,3
Who led South Africa through the end of apartheid?,Nelson Mandela,Desmond Tutu,F. W. de Klerk,Oliver Tambo,4
Which part of the plant carries out photosynthesis?,Leaf,Root,Stem,Seed,1
Which animal is famous for changing its skin color?,Chameleon,Gecko,Iguana,Salamander,2
"In computer science, what does 'RAM' stand for?",Random Access Memory,Read And Memory,Remote Active Module,Rapid Access Machine,2
What is the world’s deepest ocean trench?,Mariana Trench,Tonga Trench,Kuril-Kamchatka,Java Trench,5
Which country is the origin of feta cheese?,Greece,France,Italy,Spain,2
What sport is played at Wimbledon?,Tennis,Badminton,Golf,Polo,1
Which country is known as the Land of the Long White Cloud?,New Zealand,Iceland,Australia,Norway,5
Who is the author of 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Ivan Turgenev,4
"Which African animal is known for its large, curved horn?",Rhinoceros,Elephant,Wildebeest,Giraffe,2
In which country is Angkor Wat located?,Cambodia,Laos,Nepal,Thailand,3
Who wrote the epic poem 'The Odyssey'?,Homer,Virgil,Ovid,Sappho,4
What currency is used in South Africa?,Rand,Lira,Peso,Baht,4
Which author wrote 'The Adventures of Tom Sawyer'?,Mark Twain,Jack London,Lewis Carroll,Charles Dickens,3
Who was the first woman to win a Nobel Prize?,Marie Curie,Jane Goodall,Ada Lovelace,Rosalind Franklin,5
What year did World War II end?,1945,1940,1939,1950,4
"Which Shakespeare character utters 'To be, or not to be'?",Hamlet,Macbeth,Othello,Lear,3
Which Asian country is famous for the dish pho?,Vietnam,Korea,Taiwan,Thailand,3
What is the name of the longest river in South America?,Amazon,Congo,Nile,Yangtze,3
What is the world's largest land mammal?,African elephant,White rhino,Hippopotamus,Giraffe,4
Who directed the film 'Jaws'?,Steven Spielberg,James Cameron,George Lucas,Stanley Kubrick,3
Which classic novel features the character Jay Gatsby?,The Great Gatsby,Brave New World,1984,Lolita,2
What is the name of the world's smallest bird species?,Bee hummingbird,Elf owl,Fairy wren,Zebra finch,6
"In computing, what does the acronym 'HTML' stand for?",HyperText Markup Language,High Transfer Mail Line,Hyper Tool Markup List,Host Transfer Machine Logic,5
Which ancient city was destroyed by the eruption of Mount Vesuvius in 79 AD?,Pompeii,Athens,Troy,Babylon,3
Which river runs through the city of Paris?,Seine River,Danube River,Thames River,Rhine River,3
Who created the fictional detective Sherlock Holmes?,Arthur Conan Doyle,Charles Dickens,Agatha Christie,Jules Verne,3
Who is known as the King of Pop?,Michael Jackson,Elton John,Prince,Freddie Mercury,2
What type of painting technique uses wet plaster?,Fresco,Impasto,Glazing,Pointillism,5
Which grain is most commonly used to make couscous?,Semolina wheat,Barley grain,Brown rice,Corn meal,5
The bumblebee bat is native to which continent?,Asia,Africa,Europe,Australia,6
The Komodo dragon is native to which country?,Indonesia,Madagascar,Cambodia,Thailand,5
Which painting technique uses small dots to create images?,Pointillism,Cubism,Sfumato,Encaustic,6
What is the longest bone in the human body?,Femur,Tibia,Radius,Ulna,3
Which country produces the most olives in the world?,Spain,Italy,Greece,Turkey,4
Which bird is the national emblem of the United States?,Bald eagle,Golden eagle,Peregrine falcon,Red-tailed hawk,3
Which country is famous for inventing paper?,China,Greece,Egypt,India,3
What is the capital city of Egypt?,Cairo City,Lagos City,Tunis City,Tripoli City,2
What element does the chemical symbol 'Na' represent?,Sodium,Nitrogen,Neon,Nickel,3
Which is the largest desert in the world by area?,Antarctic Desert,Sahara Desert,Gobi Desert,Arabian Desert,6
"Which Italian dish features layers of pasta, cheese, and meat sauce?",Lasagna,Ravioli,Risotto,Gnocchi,2
Which American author wrote 'The Old Man and the Sea'?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,Mark Twain,4
The Taj Mahal was built in which century?,17th Century,16th Century,18th Century,15th Century,5
Which tennis player has the most men's Grand Slam singles titles?,Novak Djokovic,Roger Federer,Rafael Nadal,Pete Sampras,6
Which sport uses a racket and a shuttlecock?,Badminton,Squash,Tennis,Table tennis,2
Which river is the second-longest in the world?,Amazon,Yangtze,Mississippi,Nile,4
Who is the artist of the sculpture 'David'?,Michelangelo,Donatello,Bernini,Rodin,4
Which ancient wonder was located in Babylon?,Hanging Gardens,Great Pyramid,Colossus of Rhodes,Mausoleum at Halicarnassus,4
Which chemical element is a noble gas?,Neon,Sulfur,Nickel,Magnesium,3
Which city hosted the first modern Olympic Games in 1896?,Athens,Paris,London,Rome,4
What is the technical term for animals that eat both plants and meat?,Omnivores,Herbivores,Carnivores,Detritivores,2
Which continent has the most countries?,Africa,Asia,Europe,North America,3
Which famous movie features the DeLorean time machine?,Back to the Future,The Matrix,Jurassic Park,Star Wars,2
Which artist is known for the painting 'Water Lilies'?,Claude Monet,Edouard Manet,Henri Matisse,Paul Cezanne,5
Who is the Greek goddess of love and beauty?,Aphrodite,Demeter,Athena,Artemis,2
Sitar and tabla are traditional instruments from which country?,India,China,Turkey,Brazil,3
Which molecule carries oxygen in the blood?,Hemoglobin,Insulin,Keratin,Collagen,4
What grain is traditional risotto made from?,Arborio rice,Basmati rice,Jasmine rice,Wild rice,5
Which country is famous for the chocolate brand Toblerone?,Switzerland,Belgium,Austria,France,2
Which planet is known for having the Great Red Spot?,Jupiter,Saturn,Neptune,Mars,2
Who invented the process of pasteurization?,Louis Pasteur,Marie Curie,Gregor Mendel,Joseph Lister,3
Which African nation has the highest population?,Nigeria,Egypt,Ethiopia,South Africa,3
Which tennis Grand Slam is played on clay courts?,French Open,Wimbledon,US Open,Australian Open,3
Who was the first person to walk on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard,2
Which river flows through Baghdad?,Tigris,Euphrates,Nile,Jordan,4
Which country hosts the annual Day of the Dead festival?,Mexico,Spain,Peru,Chile,3
Which composer wrote 'Symphony No. 9' also known as 'Ode to Joy'?,Beethoven,Mozart,Brahms,Schubert,4
Which continent is the Andes mountain range located on?,South America,Africa,Asia,Europe,2
Who was the civil rights leader who gave the 'I Have a Dream' speech?,Martin Luther King Jr.,Malcolm X,Rosa Parks,Frederick Douglass,4
"Which film features the quote 'Here's looking at you, kid'?",Casablanca,Gone with the Wind,Citizen Kane,The Godfather,4
Who played the lead role in the TV series 'Breaking Bad'?,Bryan Cranston,Aaron Paul,Bob Odenkirk,Dean Norris,3
What does the acronym 'CPU' stand for in computing?,Central Processing Unit,Computer Power Unit,Circuit Programming Unit,Core Peripheral Unit,2
Which video game series features the fictional region of Hyrule?,The Legend of Zelda,Final Fantasy,Kingdom Hearts,Fire Emblem,3
What is the name of the plumber protagonist in Nintendo's famous platformer series?,Mario,Luigi,Kirby,Sonic,2
What Italian dessert is made of coffee-soaked ladyfingers and mascarpone cheese?,Tiramisu,Panna Cotta,Cannoli,Zabaglione,4
Which drink is traditionally made by fermenting apples?,Cider,Sake,Mead,Kvass,4
